Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6092465,El Emperador,Ryszard Kapuściński,"Kapuściński, Ryszard","Agata Orzeszek Sujak, Roberto Mansberger Amorós","=""8433925148""","=""9788433925145""",4,Anagrama,Paperback,206,2006,1978,2022/03/18,2022/01/23,,,read,,,,1,0
2297057,El guardián entre el centeno,J.D. Salinger,"Salinger, J.D.",Carmen Criado Fernández,"=""842066085X""","=""9788420660851""",4,Alianza,Paperback,266,2007,1951,2022/03/07,2022/03/07,,,read,,,,1,0
1950540,Crónicas marcianas,Ray Bradbury,"Bradbury, Ray",,"=""8445076531""","=""9788445076538""",4,Booket,Mass Market Paperback,272,2019,1950,2022/01/16,2021/11/23,,,read,"Crónicas Marcianas es un libro de relatos cortos ordenados cronológicamente. En línea con el autor, Ray Bradbury, describe un futuro distópico pero a su vez cercano a una posible realidad presente o no muy futura. El capítulo “los pueblos silenciosos” es hilarante, mi favorito del libro.",,,1,0
10767699,"En la arena estelar (Imperio Galáctico, #1)",Isaac Asimov,"Asimov, Isaac",Francisco Blanco,"=""9682108624""","=""9789682108624""",0,Ediciones Roca,Paperback,202,1991,1951,2021/10/29,2021/05/28,,,read,,,,2,0
3100874,"Las corrientes del espacio (Tríptico del Imperio, #2)",Isaac Asimov,"Asimov, Isaac",,"=""9682108802""","=""9789682108808""",3,Roca,Paperback,251,1992,1952,2021/11/23,2021/11/22,,,read,,,,1,0
41822,"The Stars, Like Dust (Galactic Empire, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553293435""","=""9780553293432""",0,Spectra,Mass Market Paperback,293,1991,1951,2021/11/05,2021/10/29,,,read,,,,1,0
31799,The Problems of Philosophy,Bertrand Russell,"Russell, Bertrand",,"=""1421903679""","=""9781421903675""",0,Indypublish.Com,Paperback,116,2005,1912,,2021/11/05,currently-reading,currently-reading (#4),currently-reading,,,,1,0
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",0,Vintage Books,Paperback,721,2007,2005,,2021/11/03,to-read,to-read (#32),to-read,,,,0,0
2016298,El Cante Flamenco,Angel Alvarez Caballero,"Caballero, Angel Alvarez",,"=""8420643254""","=""9788420643250""",0,Alianza Editorial,Hardcover,500,2004,2004,,2021/06/24,currently-reading,currently-reading (#2),currently-reading,,,,1,0
76688,"Robots and Empire (Robot, #4)",Isaac Asimov,"Asimov, Isaac",,"=""0586062009""","=""9780586062005""",4,Voyager,Mass Market Paperback,512,1996,1985,,2021/05/28,,,read,,,,1,0
554397,"Los robots del amanecer (Robot, #3)",Isaac Asimov,"Asimov, Isaac","Hernán Sabaté Vargas, María Teresa Segur Giralt","=""8497599551""","=""9788497599559""",3,Debolsillo,Mass Market Paperback,445,2005,1983,2021/04/27,2021/03/28,,,read,"Se nota Asimov escribió esta novela después de Fundación. Es un escrito mucho más comercial, entre el aire policiaco y el tema carnal, se pierde la verdadera trama de esta historia, que por otro lado es un golpe maestro de presentarla en el último diálogo de libro.",,,1,0
